MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Label
-387.2974,61.305088,41.84254,19.261963,1.9251304,-5.530609,-3.3097005,4.24629,11.351308,14.22728,12.701947,9.115161,6.1092734,dolphin
-630.33966,190.55891,84.722374,50.674877,-32.837128,-56.99962,9.972178,14.100176,9.099313,37.35926,6.701601,-17.941336,9.938741,non-dolphin
